feature-1 ,feature-2 ,feature-3 ,feature-4 ,feature-5 ,feature-6 ,class 
1.00000000, 0.00000000, 0.00000000, 135.17686140, 1.28618366, 1671.00103309, class-0
1.00000000, 0.00000000, 0.00000000, 128.79986140, 1.21382606, 1650.61383096, class-0
1.00000000, 0.00000000, 0.00000000, 127.13886140, 1.19219994, 1613.15094017, class-0
1.00000000, 0.00000000, 0.00000000, 134.25886140, 1.30521478, 1675.54924506, class-0
1.00000000, 0.00000000, 0.00000000, 133.07686140, 1.26333133, 1767.44918954, class-0
1.00000000, 0.00000000, 0.00000000, 132.12486140, 1.39193846, 1653.62840977, class-0
1.00000000, 0.00000000, 0.00000000, 131.56286140, 1.26334795, 1544.09252216, class-0
0.00000000, 2.00000000, 0.00000000, 136.19486140, 1.45213425, 3334.11037445, class-0
0.00000000, 2.00000000, 0.00000000, 130.08486140, 1.57623942, 3396.47398541, class-1
0.00000000, 3.00000000, 1.00000000, 141.47086140, 1.51598690, 5416.70751147, class-1
0.00000000, 2.00000000, 0.00000000, 153.22286140, 1.60306610, 5853.12799624, class-1
0.00000000, 3.00000000, 1.00000000, 146.38286140, 1.38184576, 2991.35625462, class-1
0.00000000, 3.00000000, 1.00000000, 141.22286140, 1.40411324, 4416.10374745, class-1
0.00000000, 3.00000000, 1.00000000, 145.46486140, 1.36631204, 3670.64713079, class-1
0.00000000, 2.00000000, 0.00000000, 138.53486140, 1.29265028, 3228.25438036, class-1
0.00000000, 2.00000000, 0.00000000, 128.02486140, 1.43318588, 3643.66258709, class-1
0.00000000, 2.00000000, 0.00000000, 130.57086140, 1.24805079, 2838.26878575, class-1
0.00000000, 2.00000000, 0.00000000, 136.10286140, 1.33914133, 3045.17481556, class-1
0.00000000, 2.00000000, 0.00000000, 137.17086140, 1.28132563, 2916.29240612, class-1
0.00000000, 2.00000000, 0.00000000, 140.17286140, 1.40952129, 3187.61196296, class-1
0.00000000, 2.00000000, 0.00000000, 139.20486140, 1.43009141, 3566.38149037, class-1
0.00000000, 3.00000000, 1.00000000, 141.94286140, 1.42822737, 4125.99530329, class-1
0.00000000, 2.00000000, 0.00000000, 137.61686140, 1.33945175, 2890.29047117, class-1
0.00000000, 2.00000000, 0.00000000, 132.09286140, 1.28263531, 2831.14756982, class-1
0.00000000, 2.00000000, 0.00000000, 126.74086140, 1.23728140, 2610.74488310, class-1
0.00000000, 4.00000000, 2.00000000, 136.18586140, 1.47432151, 3943.68101262, class-1
0.00000000, 2.00000000, 0.00000000, 142.38886140, 1.40355403, 3740.20031440, class-1
0.00000000, 3.00000000, 1.00000000, 140.31286140, 1.48861655, 5247.76141440, class-1
0.00000000, 3.00000000, 1.00000000, 142.68686140, 1.51702495, 4909.85684768, class-1
0.00000000, 2.00000000, 0.00000000, 136.08686140, 1.34061582, 3582.05845813, class-1
0.00000000, 3.00000000, 1.00000000, 135.16086140, 1.29564813, 2982.12800790, class-1
0.00000000, 2.00000000, 0.00000000, 130.85986140, 1.24369409, 2297.98398553, class-1
0.00000000, 2.00000000, 0.00000000, 132.72086140, 1.28569020, 2755.06283926, class-1
0.00000000, 2.00000000, 0.00000000, 138.90686140, 1.40756324, 3432.48067063, class-1
0.00000000, 2.00000000, 0.00000000, 133.99486140, 1.30187541, 2844.44432160, class-1
0.00000000, 3.00000000, 1.00000000, 139.58486140, 1.31473180, 4147.56779881, class-1
0.00000000, 3.00000000, 1.00000000, 128.77686140, 1.33813263, 3486.89296240, class-1
0.00000000, 2.00000000, 0.00000000, 145.44886140, 1.35346690, 3350.71320324, class-1
0.00000000, 2.00000000, 0.00000000, 136.49986140, 1.29144644, 2286.76942084, class-1
0.00000000, 3.00000000, 1.00000000, 138.03786140, 1.28660594, 3489.97311800, class-1
0.00000000, 2.00000000, 0.00000000, 138.03086140, 1.32854015, 2935.39833397, class-1
0.00000000, 3.00000000, 1.00000000, 150.35486140, 1.76573138, 6730.24760501, class-1
0.00000000, 3.00000000, 1.00000000, 136.58386140, 1.35129193, 3403.98358806, class-1
0.00000000, 2.00000000, 0.00000000, 145.05886140, 1.28950965, 3239.71503843, class-1
0.00000000, 3.00000000, 1.00000000, 135.48286140, 1.31167301, 3767.82303955, class-1
0.00000000, 3.00000000, 1.00000000, 136.31886140, 1.43213311, 3775.71455581, class-1
0.00000000, 3.00000000, 1.00000000, 131.17486140, 1.30421065, 3276.90180443, class-1
0.00000000, 2.00000000, 0.00000000, 135.47486140, 1.30016033, 3061.81666364, class-1
0.00000000, 3.00000000, 1.00000000, 142.49686140, 1.60662012, 5119.36136764, class-1
0.00000000, 3.00000000, 1.00000000, 140.08186140, 1.48406818, 4474.20867859, class-1
0.00000000, 3.00000000, 1.00000000, 130.81886140, 1.31881705, 3223.86944887, class-1
0.00000000, 3.00000000, 1.00000000, 139.58486140, 1.29819363, 3055.20861638, class-1
0.00000000, 2.00000000, 0.00000000, 140.18886140, 1.36367406, 2842.99247777, class-1
0.00000000, 2.00000000, 0.00000000, 139.69286140, 1.52127603, 4354.33382617, class-1
0.00000000, 2.00000000, 0.00000000, 137.54286140, 1.27781406, 2668.63760983, class-1
0.00000000, 3.00000000, 1.00000000, 137.59986140, 1.36894197, 4152.13061797, class-1
0.00000000, 2.00000000, 0.00000000, 139.41986140, 1.36105751, 2385.08314296, class-1
0.00000000, 3.00000000, 1.00000000, 140.56886140, 1.33748758, 3745.48718433, class-1
0.00000000, 3.00000000, 1.00000000, 146.58986140, 1.41174207, 4624.49114961, class-1
0.00000000, 3.00000000, 1.00000000, 157.31686140, 1.75147050, 6954.97464162, class-1
0.00000000, 3.00000000, 1.00000000, 135.13686140, 1.42565971, 4134.95839619, class-1
0.00000000, 2.00000000, 0.00000000, 139.94886140, 1.35331737, 3198.09789126, class-1
0.00000000, 3.00000000, 1.00000000, 133.72086140, 1.33200866, 3389.70722989, class-1
0.00000000, 2.00000000, 0.00000000, 129.02486140, 1.41036446, 3052.15464630, class-1
0.00000000, 3.00000000, 1.00000000, 135.66486140, 1.30349332, 3242.31527981, class-1
0.00000000, 3.00000000, 1.00000000, 142.52886140, 1.40837750, 4734.15816748, class-1
0.00000000, 3.00000000, 1.00000000, 135.29286140, 1.34935107, 3449.62692305, class-1
0.00000000, 2.00000000, 0.00000000, 132.77086140, 1.28617456, 2900.26113608, class-1
0.00000000, 3.00000000, 1.00000000, 144.39886140, 1.52550653, 5269.59516656, class-1
0.00000000, 3.00000000, 1.00000000, 135.68986140, 1.33264812, 3541.00237404, class-1
0.00000000, 2.00000000, 0.00000000, 134.59786140, 1.32594742, 3491.20169490, class-1
0.00000000, 2.00000000, 0.00000000, 141.71086140, 1.45487181, 4056.32894293, class-1
0.00000000, 2.00000000, 0.00000000, 136.15286140, 1.49051998, 4092.14057881, class-1
0.00000000, 2.00000000, 0.00000000, 138.64286140, 1.40761514, 3198.81515082, class-1
0.00000000, 2.00000000, 0.00000000, 128.12286140, 1.38499480, 3126.28152991, class-1
0.00000000, 3.00000000, 1.00000000, 142.68686140, 1.35996271, 3636.16944442, class-1
0.00000000, 2.00000000, 0.00000000, 134.42486140, 1.37461898, 3432.42203503, class-1
0.00000000, 2.00000000, 0.00000000, 132.29086140, 1.30721225, 3196.29581120, class-1
0.00000000, 2.00000000, 0.00000000, 140.13086140, 1.35032544, 3655.55517679, class-1
0.00000000, 2.00000000, 0.00000000, 128.81886140, 1.47861823, 3001.15167846, class-1
0.00000000, 3.00000000, 1.00000000, 131.74486140, 1.31232550, 3355.98476171, class-1
0.00000000, 2.00000000, 0.00000000, 146.69686140, 1.41607728, 4380.49168804, class-1
0.00000000, 2.00000000, 0.00000000, 134.35086140, 1.28270977, 3345.68538308, class-1
0.00000000, 2.00000000, 0.00000000, 136.09486140, 1.28833947, 3050.00353178, class-1
0.00000000, 3.00000000, 1.00000000, 141.87686140, 1.49155885, 4718.59199932, class-1
0.00000000, 2.00000000, 0.00000000, 137.06286140, 1.33724728, 3381.27861310, class-1
0.00000000, 2.00000000, 0.00000000, 127.55286140, 1.28180560, 2914.53519220, class-1
0.00000000, 2.00000000, 0.00000000, 129.05886140, 1.39103357, 2890.50910769, class-1
0.00000000, 3.00000000, 1.00000000, 143.03486140, 1.35175541, 4163.44277277, class-1
0.00000000, 2.00000000, 0.00000000, 144.44886140, 1.35377064, 3793.76825580, class-1
0.00000000, 2.00000000, 0.00000000, 133.38186140, 1.29057242, 2397.64851349, class-1
0.00000000, 3.00000000, 1.00000000, 152.24686140, 1.53680194, 5779.45677507, class-1
0.00000000, 2.00000000, 0.00000000, 160.79086140, 1.72801226, 6309.70808601, class-1
0.00000000, 2.00000000, 0.00000000, 133.75486140, 1.28813387, 2821.70885160, class-1
0.00000000, 2.00000000, 0.00000000, 139.05686140, 1.36159656, 3739.70629159, class-1
0.00000000, 3.00000000, 1.00000000, 136.57486140, 1.35959032, 3654.52119005, class-1
0.00000000, 2.00000000, 0.00000000, 135.97886140, 1.21789720, 2378.94171041, class-1
0.00000000, 2.00000000, 0.00000000, 132.86986140, 1.27221844, 3383.75103869, class-1
0.00000000, 2.00000000, 0.00000000, 136.82286140, 1.27389137, 2779.17503715, class-1
0.00000000, 3.00000000, 1.00000000, 142.27286140, 1.38394597, 4014.58412482, class-1
0.00000000, 3.00000000, 1.00000000, 142.08286140, 1.31784974, 3822.73054212, class-1
0.00000000, 3.00000000, 1.00000000, 136.66586140, 1.33497178, 3090.64487824, class-1
0.00000000, 2.00000000, 0.00000000, 152.47086140, 1.53124055, 4676.59235518, class-1
0.00000000, 2.00000000, 0.00000000, 133.86286140, 1.28543397, 2644.12550091, class-1
0.00000000, 2.00000000, 0.00000000, 134.83786140, 1.26091621, 2511.18554847, class-1
0.00000000, 3.00000000, 1.00000000, 135.50786140, 1.44172323, 4255.36281077, class-1
0.00000000, 2.00000000, 0.00000000, 137.60086140, 1.49737847, 3810.38325258, class-1
0.00000000, 2.00000000, 0.00000000, 180.08486140, 2.06535441, 10383.51603486, class-2
0.00000000, 2.00000000, 0.00000000, 197.73486140, 2.16143011, 11864.41965647, class-2
0.00000000, 2.00000000, 0.00000000, 186.13086140, 1.93937355, 10791.49646182, class-2
0.00000000, 2.00000000, 0.00000000, 194.02086140, 2.05551371, 10945.46451175, class-2
0.00000000, 2.00000000, 0.00000000, 165.54686140, 1.69733700, 6474.97791550, class-2
0.00000000, 2.00000000, 0.00000000, 189.91086140, 1.96144194, 10494.54043008, class-2
0.00000000, 2.00000000, 0.00000000, 161.76686140, 1.72849544, 7201.99575131, class-2
0.00000000, 2.00000000, 0.00000000, 187.11486140, 1.92869006, 9843.09684511, class-2
0.00000000, 3.00000000, 1.00000000, 192.64686140, 2.01692011, 11262.43236502, class-2
0.00000000, 2.00000000, 0.00000000, 188.31286140, 2.10642739, 11225.11135502, class-2
0.00000000, 2.00000000, 0.00000000, 194.70686140, 2.02596834, 11045.37938947, class-2
0.00000000, 3.00000000, 1.00000000, 206.19486140, 2.06555285, 12718.16451996, class-2
0.00000000, 2.00000000, 0.00000000, 197.26286140, 2.08986041, 9520.67375104, class-2
0.00000000, 3.00000000, 1.00000000, 184.49286140, 2.02429548, 9561.24641563, class-2
0.00000000, 2.00000000, 0.00000000, 197.87486140, 2.05335232, 10906.43063975, class-2
0.00000000, 2.00000000, 0.00000000, 193.26086140, 2.02614114, 11076.60102182, class-2
0.00000000, 2.00000000, 0.00000000, 194.86486140, 1.99925276, 10878.26490041, class-2
0.00000000, 2.00000000, 0.00000000, 207.82286140, 2.17281474, 12274.34405651, class-2
0.00000000, 2.00000000, 0.00000000, 191.15086140, 1.97823062, 11158.09498925, class-2
0.00000000, 2.00000000, 0.00000000, 196.55086140, 1.95421382, 11507.50873039, class-2
0.00000000, 2.00000000, 0.00000000, 174.97486140, 2.06382425, 10287.06586051, class-2
0.00000000, 2.00000000, 0.00000000, 190.56486140, 2.12328786, 11295.04035158, class-2
0.00000000, 3.00000000, 1.00000000, 152.49486140, 1.71387839, 5908.13609404, class-2
0.00000000, 2.00000000, 0.00000000, 169.38286140, 1.92519257, 8596.95747912, class-2
0.00000000, 2.00000000, 0.00000000, 180.32486140, 1.89840318, 9638.13522584, class-2
0.00000000, 2.00000000, 0.00000000, 189.37286140, 1.88636455, 10142.29188734, class-2
0.00000000, 2.00000000, 0.00000000, 195.23686140, 2.12774454, 11077.54568720, class-2
0.00000000, 2.00000000, 0.00000000, 171.40086140, 2.00422547, 8726.45401501, class-2
0.00000000, 2.00000000, 0.00000000, 181.64886140, 2.10782236, 9578.79959016, class-2
0.00000000, 2.00000000, 0.00000000, 204.51586140, 2.11370282, 11909.11368680, class-2
0.00000000, 2.00000000, 0.00000000, 195.02086140, 2.04177475, 10576.93308761, class-2
0.00000000, 3.00000000, 0.00000000, 185.28686140, 1.94657912, 9900.67546590, class-2
0.00000000, 2.00000000, 0.00000000, 175.69286140, 1.96526277, 9308.35526687, class-2
0.00000000, 2.00000000, 0.00000000, 187.90086140, 2.16035734, 10395.69476057, class-2
0.00000000, 2.00000000, 0.00000000, 178.33086140, 1.89464137, 9203.61953611, class-2
0.00000000, 2.00000000, 0.00000000, 194.69086140, 2.00544152, 10439.85147866, class-2
0.00000000, 2.00000000, 0.00000000, 200.76886140, 2.06667152, 11587.08579380, class-2
0.00000000, 2.00000000, 0.00000000, 206.31886140, 2.22538906, 12793.89709458, class-2
0.00000000, 2.00000000, 0.00000000, 204.47486140, 2.20228202, 13686.01870696, class-2
0.00000000, 2.00000000, 0.00000000, 198.71686140, 2.27341121, 11386.31053212, class-2
0.00000000, 2.00000000, 0.00000000, 198.18886140, 1.99799055, 11721.20016651, class-2
0.00000000, 2.00000000, 0.00000000, 192.11086140, 2.18885378, 11248.93600686, class-2
0.00000000, 3.00000000, 1.00000000, 187.25486140, 1.92244841, 9495.98135796, class-2
0.00000000, 2.00000000, 0.00000000, 185.45186140, 1.99594190, 10102.21885817, class-2
0.00000000, 2.00000000, 0.00000000, 206.40086140, 2.04960327, 12174.21356194, class-2
0.00000000, 2.00000000, 0.00000000, 194.15286140, 1.96232138, 11270.59677389, class-2
0.00000000, 2.00000000, 0.00000000, 177.84486140, 1.83805394, 8575.66149801, class-2
0.00000000, 2.00000000, 0.00000000, 201.33086140, 2.28460531, 11864.60492744, class-2
0.00000000, 2.00000000, 0.00000000, 177.17486140, 2.04042927, 9774.50421110, class-2
0.00000000, 2.00000000, 0.00000000, 172.07286140, 2.06230344, 9499.49056332, class-2
0.00000000, 2.00000000, 0.00000000, 190.25686140, 1.91802611, 10275.86294353, class-2
0.00000000, 2.00000000, 0.00000000, 178.21486140, 1.86582400, 9884.03325496, class-2
0.00000000, 2.00000000, 0.00000000, 188.92686140, 1.99872929, 10406.00213057, class-2
0.00000000, 2.00000000, 0.00000000, 184.32086140, 2.06665367, 10969.36183574, class-2
0.00000000, 2.00000000, 0.00000000, 171.76486140, 1.80702827, 7563.38315232, class-2
0.00000000, 2.00000000, 0.00000000, 205.91286140, 2.03845218, 12582.80780370, class-2
0.00000000, 2.00000000, 0.00000000, 175.80086140, 1.90038901, 8519.37828777, class-2
0.00000000, 2.00000000, 0.00000000, 190.15086140, 1.88590193, 11846.52111624, class-2
0.00000000, 2.00000000, 0.00000000, 162.86586140, 1.69928585, 7045.79082495, class-2
0.00000000, 2.00000000, 0.00000000, 156.09286140, 1.60893019, 5997.79466316, class-2
0.00000000, 2.00000000, 0.00000000, 176.77686140, 1.87813120, 8604.72617511, class-2
1.00000000, 1.00000000, 1.00000000, 159.72286140, 1.65744807, 5540.35815029, class-2
0.00000000, 2.00000000, 0.00000000, 192.49886140, 1.99084187, 10969.88458587, class-2
0.00000000, 2.00000000, 0.00000000, 197.86686140, 2.16449861, 11817.64014567, class-2
0.00000000, 2.00000000, 0.00000000, 190.19086140, 2.07275185, 11045.90834198, class-2
0.00000000, 2.00000000, 0.00000000, 200.19886140, 2.31719962, 11504.64746146, class-2
0.00000000, 2.00000000, 0.00000000, 162.38686140, 1.79125362, 7395.95616322, class-2
0.00000000, 2.00000000, 0.00000000, 200.85086140, 2.00948701, 11787.39727284, class-2
0.00000000, 2.00000000, 0.00000000, 180.26686140, 2.04392822, 10484.02125131, class-2
0.00000000, 2.00000000, 0.00000000, 163.70986140, 1.64619979, 6395.84790394, class-2
0.00000000, 2.00000000, 0.00000000, 199.55286140, 2.04870559, 11627.20122893, class-2
0.00000000, 2.00000000, 0.00000000, 189.81886140, 2.01956004, 9573.06918930, class-2
0.00000000, 2.00000000, 0.00000000, 208.71686140, 2.10412590, 12055.42032162, class-2
0.00000000, 2.00000000, 0.00000000, 172.19486140, 1.93222064, 8935.58405193, class-2
0.00000000, 2.00000000, 0.00000000, 200.57086140, 2.10277897, 11487.18257624, class-2
0.00000000, 3.00000000, 1.00000000, 203.77086140, 2.02599892, 12442.14279040, class-2
0.00000000, 2.00000000, 0.00000000, 203.80486140, 2.04032502, 12260.31386296, class-2
0.00000000, 2.00000000, 0.00000000, 194.01286140, 1.89970665, 10621.09754191, class-2
0.00000000, 2.00000000, 0.00000000, 182.72286140, 1.91302059, 9699.20634888, class-2
0.00000000, 2.00000000, 0.00000000, 221.21286140, 2.21879511, 14512.73868474, class-2
0.00000000, 2.00000000, 0.00000000, 200.66886140, 2.12295239, 11510.31494346, class-2
0.00000000, 2.00000000, 0.00000000, 185.52686140, 2.04964226, 10041.99666374, class-2
0.00000000, 2.00000000, 0.00000000, 192.68086140, 1.98473723, 11143.19625946, class-2
0.00000000, 2.00000000, 0.00000000, 183.23686140, 1.82866656, 9885.66800306, class-2
0.00000000, 2.00000000, 0.00000000, 203.85486140, 2.17821002, 12826.22557231, class-2
0.00000000, 3.00000000, 1.00000000, 204.69686140, 2.01282647, 11580.75050540, class-2
0.00000000, 2.00000000, 0.00000000, 190.29886140, 1.98551224, 11316.46608379, class-2
0.00000000, 2.00000000, 0.00000000, 204.69886140, 2.07961675, 12819.32766214, class-2
0.00000000, 2.00000000, 0.00000000, 191.96886140, 2.09056944, 11575.88016100, class-2
0.00000000, 2.00000000, 0.00000000, 188.29686140, 1.82514110, 8658.34938783, class-2
0.00000000, 2.00000000, 0.00000000, 199.71086140, 1.92782593, 11420.75538351, class-2
0.00000000, 2.00000000, 0.00000000, 198.62686140, 2.10431102, 11288.75065106, class-2
0.00000000, 3.00000000, 1.00000000, 189.37286140, 2.15941990, 10842.55385503, class-2
0.00000000, 3.00000000, 1.00000000, 178.24886140, 1.71364263, 8632.91992634, class-2
0.00000000, 2.00000000, 0.00000000, 191.25086140, 2.09844571, 10695.61929880, class-2
0.00000000, 2.00000000, 0.00000000, 162.17986140, 1.83885154, 8592.08414686, class-2
0.00000000, 2.00000000, 0.00000000, 191.52286140, 1.93822941, 10846.81085732, class-2
0.00000000, 2.00000000, 0.00000000, 206.83886140, 2.02407544, 12424.14439066, class-2
0.00000000, 3.00000000, 1.00000000, 184.69886140, 1.94989031, 9398.35807365, class-2
0.00000000, 2.00000000, 0.00000000, 193.06886140, 1.97690780, 10611.24254896, class-2
0.00000000, 3.00000000, 1.00000000, 170.02886140, 1.74675519, 8077.61081330, class-3
0.00000000, 2.00000000, 0.00000000, 137.74286140, 1.52525276, 3801.70695583, class-3
